Item 1,Item 2,Item 3,Item 4,Item 5,Item 6,Item 7,Item 8,Item 9,Item 10,Item 11,Item 12,Item 13,Item 14,Item 15,Item 16,Item 17,Item 18,Item 19,Item 20,Item 21,Item 22,Item 23,Item 24,Item 25,Item 26,Item 27,Item 28,Item 29,Item 30,Item 31,Item 32
groente_fruit,houdbareZuivel_suiker_koffiemelk_thee,houdbareZuivel_suiker_koffiemelk_thee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
houdbareZuivel_suiker_koffiemelk_thee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
houdbareZuivel_suiker_koffiemelk_thee,toetjes_boter,houdbareZuivel_suiker_koffiemelk_thee,rijst,frisdrank_wasmiddel_huishouden,,,,,,,,,,,,,,,,,,,,,,,,,,,
broodafdeling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groente_fruit,melk_zuivel,broodafdeling,bier,wijn,,,,,,,,,,,,,,,,,,,,,,,,,,,
houdbareZuivel_suiker_koffiemelk_thee,cereals_broodbeleg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groente_fruit,groente_fruit,broodafdeling,houdbareZuivel_suiker_koffiemelk_thee,koek_koffie,,,,,,,,,,,,,,,,,,,,,,,,,,,
sappen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gesnedenGroenten_maaltijden_sappen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koek_koffie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
speciaalBier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
groente_fruit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
houdbareZuivel_suiker_koffiemelk_thee,verse_broodjes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
houdbareZuivel_suiker_koffiemelk_thee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
